"AFG","Afghanistan","アフガニスタン","AFC"
"AIA","Anguilla","アンギラ","CONCACAF"
"ALB","Albania","アルバニア","UEFA"
"ALG","Algeria","アルジェリア","CAF"
"AND","Andorra","アンドラ","UEFA"
"ANG","Angola","アンゴラ","CAF"
"ANT","Netherlands Antilles","アンティル","CONCACAF"
"ARG","Argentina","アルゼンチン","CONMEBOL"
"ARM","Armenia","アルメニア","UEFA"
"ARU","Aruba","アルバ","CONCACAF"
"ASA","American Samoa","アメリカ領サモア","OFC"
"ATG","Antigua and Barbuda","アンティグア・バーブーダ","CONCACAF"
"AUS","Australia","オーストラリア","AFC"
"AUT","Austria","オーストリア","UEFA"
"AZE","Azerbaijan","アゼルバイジャン","UEFA"
"BAH","Bahamas","バハマ","CONCACAF"
"BAN","Bangladesh","バングラデシュ","AFC"
"BDI","Burundi","ブルンジ","CAF"
"BEL","Belgium","ベルギー","UEFA"
"BEN","Benin","ベナン","CAF"
"BER","Bermuda","バミューダ諸島","CONCACAF"
"BFA","Burkina Faso","ブルキナファソ","CAF"
"BHR","Bahrain","バーレーン","AFC"
"BHU","Bhutan","ブータン","AFC"
"BIH","Bosnia and Herzegovina","ボスニア・ヘルツェゴビナ","UEFA"
"BLR","Belarus","ベラルーシ","UEFA"
"BLZ","Belize","ベリーズ","CONCACAF"
"BOL","Bolivia","ボリビア","CONMEBOL"
"BOT","Botswana","ボツワナ","CAF"
"BRA","Brazil","ブラジル","CONMEBOL"
"BRB","Barbados","バルバドス","CONCACAF"
"BRU","Brunei Darussalam","ブルネイ","AFC"
"BUL","Bulgaria","ブルガリア","UEFA"
"CAM","Cambodia","カンボジア","AFC"
"CAN","Canada","カナダ","CONCACAF"
"CAY","Cayman Islands","ケイマン諸島","CONCACAF"
"CGO","Congo","コンゴ共和国","CAF"
"CHA","Chad","チャド","CAF"
"CHI","Chile","チリ","CONMEBOL"
"CHN","China PR","中国","AFC"
"CIV","Côte d'Ivoire","コートジボワール","CAF"
"CMR","Cameroon","カメルーン","CAF"
"COD","Congo DR","コンゴ民主共和国","CAF"
"COK","Cook Islands","クック諸島","OFC"
"COL","Colombia","コロンビア","CONMEBOL"
"COM","Comoros","コモロ","CAF"
"CPV","Cape Verde Islands","カーボベルデ","CAF"
"CRC","Costa Rica","コスタリカ","CONCACAF"
"CRO","Croatia","クロアチア","UEFA"
"CTA","Central African Republic","中央アフリカ","CAF"
"CUB","Cuba","キューバ","CONCACAF"
"CUW","Curaçao","キュラソー","CONCACAF"
"CYP","Cyprus","キプロス","UEFA"
"CZE","Czech Republic","チェコ","UEFA"
"DEN","Denmark","デンマーク","UEFA"
"DJI","Djibouti","ジブチ","CAF"
"DMA","Dominica","ドミニカ国","CONCACAF"
"DOM","Dominican Republic","ドミニカ共和国","CONCACAF"
"ECU","Ecuador","エクアドル","CONMEBOL"
"EGY","Egypt","エジプト","CAF"
"ENG","England","イングランド","UEFA"
"EQG","Equatorial Guinea","赤道ギニア","CAF"
"ERI","Eritrea","エリトリア","CAF"
"ESP","Spain","スペイン","UEFA"
"EST","Estonia","エストニア","UEFA"
"ETH","Ethiopia","エチオピア","CAF"
"FIJ","Fiji","フィジー","OFC"
"FIN","Finland","フィンランド","UEFA"
"FRA","France","フランス","UEFA"
"FRO","Faroe Islands","フェロー諸島","UEFA"
"GAB","Gabon","ガボン","CAF"
"GAM","Gambia","ガンビア","CAF"
"GEO","Georgia","ジョージア","UEFA"
"GER","Germany","ドイツ","UEFA"
"GHA","Ghana","ガーナ","CAF"
"GIB","Gibraltar","ジブラルタル","UEFA"
"GNB","Guinea-Bissau","ギニアビサウ","CAF"
"GRE","Greece","ギリシャ","UEFA"
"GRN","Grenada","グレナダ","CONCACAF"
"GUA","Guatemala","グアテマラ","CONCACAF"
"GUI","Guinea","ギニア","CAF"
"GUM","Guam","グアム","AFC"
"GUY","Guyana","ガイアナ","CONCACAF"
"HAI","Haiti","ハイチ","CONCACAF"
"HKG","Hong Kong","香港","AFC"
"HON","Honduras","ホンジュラス","CONCACAF"
"HUN","Hungary","ハンガリー","UEFA"
"IDN","Indonesia","インドネシア","AFC"
"IND","India","インド","AFC"
"IRL","Republic of Ireland","アイルランド","UEFA"
"IRN","IR Iran","イラン","AFC"
"IRQ","Iraq","イラク","AFC"
"ISL","Iceland","アイスランド","UEFA"
"ISR","Israel","イスラエル","UEFA"
"ITA","Italy","イタリア","UEFA"
"JAM","Jamaica","ジャマイカ","CONCACAF"
"JOR","Jordan","ヨルダン","AFC"
"JPN","Japan","日本","AFC"
"KAZ","Kazakhstan","カザフスタン","UEFA"
"KEN","Kenya","ケニア","CAF"
"KGZ","Kyrgyz Republic","キルギス","AFC"
"KOR","Korea Republic","韓国","AFC"
"KSA","Saudi Arabia","サウジアラビア","AFC"
"KUW","Kuwait","クウェート","AFC"
"KVX","Kosovo","コソボ","UEFA"
"LAO","Laos","ラオス","AFC"
"LBR","Liberia","リベリア","CAF"
"LBY","Libya","リビア","CAF"
"LCA","St Lucia","セントルシア","CONCACAF"
"LES","Lesotho","レソト","CAF"
"LIB","Lebanon","レバノン","AFC"
"LIE","Liechtenstein","リヒテンシュタイン","UEFA"
"LTU","Lithuania","リトアニア","UEFA"
"LUX","Luxembourg","ルクセンブルク","UEFA"
"LVA","Latvia","ラトビア","UEFA"
"MAC","Macau","マカオ","AFC"
"MAD","Madagascar","マダガスカル","CAF"
"MAR","Morocco","モロッコ","CAF"
"MAS","Malaysia","マレーシア","AFC"
"MDA","Moldova","モルドバ","UEFA"
"MDV","Maldives","モルディブ","AFC"
"MEX","Mexico","メキシコ","CONCACAF"
"MKD","FYR Macedonia","マケドニア","UEFA"
"MLI","Mali","マリ","CAF"
"MLT","Malta","マルタ","UEFA"
"MNE","Montenegro","モンテネグロ","UEFA"
"MNG","Mongolia","モンゴル","AFC"
"MOZ","Mozambique","モザンビーク","CAF"
"MRI","Mauritius","モーリシャス","CAF"
"MSR","Montserrat","モントセラト","CONCACAF"
"MTN","Mauritania","モーリタニア","CAF"
"MWI","Malawi","マラウイ","CAF"
"MYA","Myanmar","ミャンマー","AFC"
"NAM","Namibia","ナミビア","CAF"
"NCA","Nicaragua","ニカラグア","CONCACAF"
"NCL","New Caledonia","ニューカレドニア","OFC"
"NED","Netherlands","オランダ","UEFA"
"NEP","Nepal","ネパール","AFC"
"NGA","Nigeria","ナイジェリア","CAF"
"NIG","Niger","ニジェール","CAF"
"NIR","Northern Ireland","北アイルランド","UEFA"
"NOR","Norway","ノルウェー","UEFA"
"NZL","New Zealand","ニュージーランド","OFC"
"OMA","Oman","オマーン","AFC"
"PAK","Pakistan","パキスタン","AFC"
"PAN","Panama","パナマ","CONCACAF"
"PAR","Paraguay","パラグアイ","CONMEBOL"
"PER","Peru","ペルー","CONMEBOL"
"PHI","Philippines","フィリピン","AFC"
"PLE","Palestine","パレスチナ","AFC"
"PNG","Papua New Guinea","パプアニューギニア","OFC"
"POL","Poland","ポーランド","UEFA"
"POR","Portugal","ポルトガル","UEFA"
"PRK","Korea DPR","朝鮮民主主義人民共和国","AFC"
"PUR","Puerto Rico","プエルトリコ","CONCACAF"
"QAT","Qatar","カタール","AFC"
"ROU","Romania","ルーマニア","UEFA"
"RSA","South Africa","南アフリカ共和国","CAF"
"RUS","Russia","ロシア","UEFA"
"RWA","Rwanda","ルワンダ","CAF"
"SAM","Samoa","サモア","OFC"
"SCG","Serbia and Montenegro","セルビア・モンテネグロ","UEFA"
"SCO","Scotland","スコットランド","UEFA"
"SDN","Sudan","スーダン","CAF"
"SEN","Senegal","セネガル","CAF"
"SEY","Seychelles","セーシェル","CAF"
"SIN","Singapore","シンガポール","AFC"
"SKN","St Kitts and Nevis","セントクリストファー・ネイビス","CONCACAF"
"SLE","Sierra Leone","シエラレオネ","CAF"
"SLV","El Salvador","エルサルバドル","CONCACAF"
"SMR","San Marino","サンマリノ","UEFA"
"SOL","Solomon Islands","ソロモン諸島","OFC"
"SOM","Somalia","ソマリア","CAF"
"SRB","Serbia","セルビア","UEFA"
"SRI","Sri Lanka","スリランカ","AFC"
"SSD","South Sudan","南スーダン","CAF"
"STP","São Tomé e Príncipe","サントメ・プリンシペ","CAF"
"SUI","Switzerland","スイス","UEFA"
"SUR","Suriname","スリナム","CONCACAF"
"SVK","Slovakia","スロバキア","UEFA"
"SVN","Slovenia","スロベニア","UEFA"
"SWE","Sweden","スウェーデン","UEFA"
"SWZ","Swaziland","スワジランド","CAF"
"SYR","Syria","シリア","AFC"
"TAH","Tahiti","タヒチ","OFC"
"TAN","Tanzania","タンザニア","CAF"
"TCA","Turks and Caicos Islands","タークス・カイコス諸島","CONCACAF"
"TCH","RCS","チェコスロバキア","UEFA"
"TGA","Tonga","トンガ","OFC"
"THA","Thailand","タイ","AFC"
"TJK","Tajikistan","タジキスタン","AFC"
"TKM","Turkmenistan","トルクメニスタン","AFC"
"TLS","Timor-Leste","東ティモール","AFC"
"TOG","Togo","トーゴ","CAF"
"TPE","Chinese Taipei","チャイニーズタイペイ","AFC"
"TRI","Trinidad and Tobago","トリニダード・トバゴ","CONCACAF"
"TUN","Tunisia","チュニジア","CAF"
"TUR","Turkey","トルコ","UEFA"
"UAE","United Arab Emirates","アラブ首長国連邦","AFC"
"UGA","Uganda","ウガンダ","CAF"
"UKR","Ukraine","ウクライナ","UEFA"
"URU","Uruguay","ウルグアイ","CONMEBOL"
"USA","USA","アメリカ合衆国","CONCACAF"
"UZB","Uzbekistan","ウズベキスタン","AFC"
"VAN","Vanuatu","バヌアツ","OFC"
"VEN","Venezuela","ベネズエラ","CONMEBOL"
"VGB","British Virgin Islands","イギリス領ヴァージン諸島","CONCACAF"
"VIE","Vietnam","ベトナム","AFC"
"VIN","St Vincent and the Grenadines","セントビンセント・グレナディーン","CONCACAF"
"VIR","US Virgin Islands","アメリカ領ヴァージン諸島","CONCACAF"
"WAL","Wales","ウェールズ","UEFA"
"YEM","Yemen","イエメン","AFC"
"YUG","Yugoslavia","ユーゴスラビア","UEFA"
"ZAI","Zaire","ザイール","CAF"
"ZAM","Zambia","ザンビア","CAF"
"ZIM","Zimbabwe","ジンバブエ","CAF"
